state,innovatescore_boehmkeskinner,soc_capital,partisan_knowledge_scale,persfree,legprofscore,acounty,amuni,atown,local_gov_total
Arkansas,0.028208,-0.13445804,,,,75.0,483.0,0.0,558.0
Arkansas,0.027177,0.28396189,,,,75.0,483.0,0.0,558.0
Arkansas,0.027177,-0.19963937,,,,75.0,483.0,0.0,558.0
Arkansas,0.036772,,,,,75.0,483.0,0.0,558.0
Arkansas,0.036772,-0.54399121,,,,75.0,489.0,0.0,564.0
Arkansas,0.024849,-1.465161,,,,75.0,489.0,0.0,564.0
Arkansas,0.024849,-0.16516346,,,,75.0,489.0,0.0,564.0
Arkansas,0.05112,-1.8674234,,,,75.0,489.0,0.0,564.0
Arkansas,0.05112,-1.3136063,,,0.104,75.0,489.0,0.0,564.0
Arkansas,0.066624,-1.456244,,,,75.0,491.0,0.0,566.0
Arkansas,0.066624,0.1530212,,,,75.0,491.0,0.0,566.0
Arkansas,0.082064,-0.71246433,,,,75.0,491.0,0.0,566.0
Arkansas,0.082064,-0.037228182,,,,75.0,491.0,0.0,566.0
Arkansas,0.120199,-0.65405566,,11.44579652,,,,,
Arkansas,0.120199,-0.14437777,,,,75.0,499.0,0.0,574.0
Arkansas,0.002903,-1.1696535,,,0.106,,,,
Arkansas,0.002903,-0.95032811,,,,75.0,499.0,0.0,574.0
Arkansas,0.093463,-1.2566884,,,,75.0,499.0,0.0,574.0
Arkansas,0.093463,-1.5322616,,,,75.0,499.0,0.0,574.0
Arkansas,0.071675,-1.0942661,1.57,4.598595992,,75.0,502.0,0.0,577.0
Arkansas,0.071675,-1.3848028,,,,75.0,502.0,0.0,577.0
Arkansas,0.003891,-0.67975813,,3.994681935,,75.0,502.0,0.0,577.0
Arkansas,0.003891,,,,,75.0,502.0,0.0,577.0
Arkansas,,,,2.771577995,,75.0,502.0,0.0,577.0
Arkansas,,,,,,75.0,502.0,0.0,577.0
Arkansas,,,,,,75.0,502.0,0.0,577.0
Arkansas,,,,,,75.0,502.0,0.0,577.0
Arkansas,,,,,,75.0,502.0,0.0,577.0
Arkansas,,,,,,,,,
Arkansas,,,,,,,,,
Arkansas,,,,,,,,,
Arkansas,,,,,,,,,
Arkansas,,,,,,,,,
Arizona,,,,,,,,,
Arizona,,,,,,,,,
Arizona,,,,,,,,,
Arizona,,,,,,,,,
Arizona,,,,,,,,,
Arizona,,,,,,,,,
Arizona,,,,,,,,,
Arizona,,,,,,,,,
Arizona,,,,,,,,,
Arizona,,,,,,,,,
Arizona,,,,,,,,,
Arizona,,,,,,,,,
Arizona,,,,,,,,,
Arizona,0.244713,,,,,,,,
Arizona,0.244713,,,,,,,,
Arizona,0.001721,,,,,,,,
Arizona,0.001721,,,,,,,,
Arizona,0.0,,,,,,,,
Arizona,0.0,,,,,,,,
Arizona,0.001511,,,,,,,,
Arizona,0.001511,,,,,,,,
Arizona,0.108725,,,,,,,,
Arizona,0.108725,,,,,,,,
Arizona,0.002252,,,,,,,,
Arizona,0.002252,,,,,,,,
Arizona,0.054886,,,,,,,,
Arizona,0.054886,,,,,,,,
Arizona,0.049487,,,,,,,,
Arizona,0.049487,,,,,,,,
Arizona,0.000632,,,,,,,,
Arizona,0.000632,,,,,,,,
Arizona,0.001505,,,,,,,,
Arizona,0.001505,,,,,,,,
Arizona,0.099197,,,,,,,,
Arizona,0.099197,,,,,,,,
Arizona,0.110999,,,,,,,,
Arizona,0.110999,,,,,,,,
Arizona,0.111335,,,,,,,,
Arizona,0.111335,,,,,,,,
Arizona,0.131864,,,,,,,,
Arizona,0.131864,,,,,,,,
Arizona,0.03527,,,,,,,,
Arizona,0.03527,,,,,,,,
Arizona,0.000388,,,,,,,,
Arizona,0.000388,,,,,,,,
Arizona,0.0,,,,,,,,
Arizona,0.0,,,,,,,,
Arizona,0.0,,,,,,,,
Arizona,0.0,,,,,,,,
Arizona,0.0,,,,,,,,
Arizona,0.0,,,,,,,,
Arizona,0.000252,,,,,,,,
Arizona,0.000252,,,,,,,,
Arizona,0.021466,,,,,,,,
Arizona,0.021466,,,,,,,,
Arizona,0.021477,,,,,,,,
Arizona,0.021477,,,,,,,,
Arizona,0.000523,,,,,,,,
Arizona,0.000523,,,,,,,,
Arizona,0.020029,,,,,,,,
Arizona,0.020029,,,,,,,,
Arizona,0.041405,,,,,,,,
Arizona,0.041405,,,,,,,,
Arizona,0.04234,,,,,,,,
Arizona,0.04234,,,,,,,,
Arizona,0.023782,,,,,,,,
Arizona,0.023782,,,,,,,,
Arizona,0.000587,,,,,,,,
Arizona,0.000587,,,,,,,,
Arizona,0.022689,,,,,,,,
Arizona,0.022689,,,,,,,,
Arizona,0.000786,,,,,,,,
Arizona,0.000786,,,,,,,,
Arizona,0.039764,,,,,,,,
Arizona,0.039764,,,,,,,,
Arizona,0.000613,,,,,,,,
Arizona,0.000613,,,,,,,,
Arizona,0.014374,,,,,14.0,70.0,0.0,84.0
Arizona,0.014374,,,,,14.0,70.0,0.0,84.0
Arizona,0.000531,,,,0.269,14.0,70.0,0.0,84.0
Arizona,0.000531,,,,,14.0,70.0,0.0,84.0
Arizona,0.025351,,,,,14.0,70.0,0.0,84.0
Arizona,0.025351,,,,,14.0,76.0,0.0,90.0
Arizona,0.048839,,,,,14.0,76.0,0.0,90.0
Arizona,0.048839,,,,,14.0,76.0,0.0,90.0
Arizona,0.027113,,,,,14.0,76.0,0.0,90.0
Arizona,0.027113,2.6054668,,,,14.0,76.0,0.0,90.0
Arizona,0.070323,1.4442337,,,,15.0,81.0,0.0,96.0
Arizona,0.070323,2.4945452,,,,15.0,81.0,0.0,96.0
Arizona,0.029563,1.6278608,,,,15.0,81.0,0.0,96.0
Arizona,0.029563,0.24559939,,,,15.0,81.0,0.0,96.0
Arizona,0.064696,,,,,15.0,81.0,0.0,96.0
Arizona,0.064696,0.83689302,,,,15.0,86.0,0.0,101.0
Arizona,0.148943,-0.076394752,,,,15.0,86.0,0.0,101.0
Arizona,0.148943,-0.005650546,,,,15.0,86.0,0.0,101.0
Arizona,0.093333,-0.30813617,,,,15.0,86.0,0.0,101.0
Arizona,0.093333,-0.32356536,,,0.185,15.0,86.0,0.0,101.0
Arizona,0.112495,-0.15986614,,,,15.0,87.0,0.0,102.0
Arizona,0.112495,-0.47449026,,,,15.0,87.0,0.0,102.0
Arizona,0.098675,0.40567711,,,,15.0,87.0,0.0,102.0
Arizona,0.098675,0.23037234,,,,15.0,87.0,0.0,102.0
Arizona,0.149362,-0.13195707,,11.52309867,,,,,
Arizona,0.149362,-0.30478534,,,,15.0,87.0,0.0,102.0
Arizona,0.004571,0.33285528,,,0.232,,,,
Arizona,0.004571,-0.96342325,,,,15.0,87.0,0.0,102.0
Arizona,0.184766,0.11977361,,,,15.0,87.0,0.0,102.0
