state,innovatescore_boehmkeskinner,soc_capital,partisan_knowledge_scale,persfree,legprofscore,acounty,amuni,atown,local_gov_total
Massachusetts,0.053587326530612246,0.8735089190869566,2.36,6.0338867917500005,0.36766666666666664,9.18918918918919,42.513513513513516,308.4864864864865,360.18918918918916
Michigan,0.04947967346938776,0.19942560347826088,1.69,-5.08261881675,0.4403333333333334,83.0,532.972972972973,1242.5945945945946,1858.5675675675675
Minnesota,0.06041883673469387,1.0757986047826087,2.02,7.79094276675,0.18633333333333332,87.0,854.2972972972973,1793.6216216216217,2734.9189189189187
Mississippi,0.021953510204081633,-1.22685211,1.38,-5.1473103005,0.13966666666666666,82.0,293.13513513513516,0.0,375.13513513513516
Missouri,0.033607755102040816,0.25313460273913047,1.63,7.29669265425,0.21266666666666667,114.0,936.7837837837837,320.3243243243243,1371.1081081081081
Montana,0.04292377551020408,0.8901918690434784,1.71,1.959771356,0.08766666666666667,54.0,127.8108108108108,0.0,181.8108108108108
Nebraska,0.050367775510204084,0.8225031772173913,,4.5063201915,0.18333333333333335,93.0,532.9459459459459,453.43243243243245,1079.3783783783783
New Hampshire,0.03853269387755102,1.5003993876086958,1.96,16.314181785,0.041,10.0,13.0,221.0,244.0
New York,0.06106575510204081,-0.2920951976956522,1.63,-11.25491706425,0.4673333333333334,57.0,617.2972972972973,929.1351351351351,1603.4324324324325
North Carolina,0.047026428571428566,-1.5244391073913044,1.57,9.7150947035,0.17900000000000002,100.0,515.1081081081081,0.0,615.1081081081081
North Dakota,0.03561004081632653,0.6990703986956521,1.64,4.425901607,0.062,53.0,361.7567567567568,1342.4054054054054,1757.162162162162
Ohio,0.04258373469387756,0.08364536056521739,1.56,0.07129925724999997,0.32466666666666666,88.0,939.4594594594595,1313.2162162162163,2340.675675675676
Oklahoma,0.03468128571428571,-0.6978834435652174,1.42,-1.4555364069999999,0.208,77.0,586.2972972972973,0.0,663.2972972972973
Oregon,0.06418712244897959,1.3230837960434783,1.98,6.114634793,0.18166666666666667,36.0,240.24324324324326,0.0,276.2432432432432
Pennsylvania,0.04921171428571428,0.1380894762173913,1.36,1.6189194014999997,0.3223333333333333,66.0,1018.7567567567568,1547.7027027027027,2632.4594594594596
South Carolina,0.03354424489795919,-1.574914151826087,1.7,7.66768520575,0.18000000000000002,46.0,267.7567567567568,0.0,313.7567567567568
South Dakota,0.03129118367346939,0.6749252239130434,1.72,-6.25624600625,0.07766666666666666,64.91891891891892,309.9189189189189,961.8108108108108,1336.6486486486488
Tennessee,0.0444638775510204,-1.1297479478260868,1.42,8.31364486175,0.12733333333333333,92.97297297297297,339.27027027027026,0.0,432.2432432432432
Texas,0.04315014285714286,-0.6272664890869565,1.92,-1.846533864,0.20166666666666666,254.0,1161.162162162162,0.0,1415.162162162162
Utah,0.04065130612244898,0.2729768966086957,2.08,3.16419576175,0.07133333333333335,29.0,230.24324324324326,0.0,259.2432432432432
Vermont,0.032191591836734694,1.5971483412608694,2.05,10.057428801,0.13033333333333333,14.0,50.7027027027027,237.0,301.7027027027027
Virginia,0.04890581632653061,-0.710206546826087,1.65,-2.1735920684999996,0.14833333333333334,95.13513513513513,229.35135135135135,0.0,324.4864864864865
Washington,0.058031877551020405,1.2744830823913045,2.07,6.8053149702499995,0.20233333333333334,39.0,272.02702702702703,0.0,311.02702702702703
West Virginia,0.030013183673469387,-0.1933380512173913,1.64,12.71898696375,0.13033333333333333,55.0,231.0,0.0,286.0
Wisconsin,0.047602673469387756,0.6573435103478261,1.62,-1.3885430395,0.38233333333333336,72.0,584.081081081081,1264.972972972973,1921.054054054054
